reactants,products,id,family,type,depth,status,verdict,decided
e + SF2*,e + e + SF2+,cand_e_SF2*_to_e_e_SF2p,electron,ionization,2,candidate,unknown,no
e + SF2_v,e + SF2,cand_e_SF2_v_to_e_SF2,electron,deexcitation,1,candidate,unknown,no
e + SF2_v,e + SF + F,cand_e_SF2_v_to_e_SF_F,electron,dissociation,2,candidate,unknown,no
e + SF2_v,e + S + F2,cand_e_SF2_v_to_e_S_F2,electron,dissociation,2,candidate,unknown,no
e + SF2_v,e + e + SF+ + F,cand_e_SF2_v_to_e_e_SFp_F,electron,dissociative_ionization,2,candidate,unknown,no
e + SF2_v,e + e + S+ + F2,cand_e_SF2_v_to_e_e_Sp_F2,electron,dissociative_ionization,2,candidate,unknown,no
e + SF2_v,e + SF2_v,cand_e_SF2_v_to_e_SF2_v,electron,elastic,2,candidate,unknown,no
e + SF2_v,e + e + SF2+,cand_e_SF2_v_to_e_e_SF2p,electron,ionization,2,candidate,unknown,no
e + SF3,e + SF + F2,cand_e_SF3_to_e_SF_F2,electron,dissociation,1,candidate,unknown,no
e + SF3,e + SF2 + F,e_SF3_dissociation_SF2_F,electron,dissociation,1,literature_supported,unknown,no
e + SF3,e + e + SF2+ + F,cand_e_SF3_to_e_e_SF2p_F,electron,dissociative_ionization,1,candidate,unknown,no
e + SF3,e + e + SF+ + F2,cand_e_SF3_to_e_e_SFp_F2,electron,dissociative_ionization,1,candidate,unknown,no
e + SF3,e + SF3,cand_e_SF3_to_e_SF3,electron,elastic,1,candidate,unknown,no
e + SF3,e + SF3*,cand_e_SF3_to_e_SF3*,electron,excitation,1,candidate,unknown,no
e + SF3,e + SF3_v,cand_e_SF3_to_e_SF3_v,electron,excitation,1,candidate,unknown,no
e + SF3,e + SF3+,e_SF3_ionization,electron,ionization,1,literature_supported,unknown,no
e + SF3*,e + SF3,cand_e_SF3*_to_e_SF3,electron,deexcitation,1,candidate,unknown,no
e + SF3*,e + SF2 + F,cand_e_SF3*_to_e_SF2_F,electron,dissociation,2,candidate,unknown,no
e + SF3*,e + SF + F2,cand_e_SF3*_to_e_SF_F2,electron,dissociation,2,candidate,unknown,no
e + SF3*,e + e + SF2+ + F,cand_e_SF3*_to_e_e_SF2p_F,electron,dissociative_ionization,2,candidate,unknown,no
e + SF3*,e + e + SF+ + F2,cand_e_SF3*_to_e_e_SFp_F2,electron,dissociative_ionization,2,candidate,unknown,no
e + SF3*,e + SF3*,cand_e_SF3*_to_e_SF3*,electron,elastic,2,candidate,unknown,no
e + SF3*,e + e + SF3+,cand_e_SF3*_to_e_e_SF3p,electron,ionization,2,candidate,unknown,no
e + SF3_v,e + SF3,cand_e_SF3_v_to_e_SF3,electron,deexcitation,1,candidate,unknown,no
e + SF3_v,e + SF2 + F,cand_e_SF3_v_to_e_SF2_F,electron,dissociation,2,candidate,unknown,no
e + SF3_v,e + SF + F2,cand_e_SF3_v_to_e_SF_F2,electron,dissociation,2,candidate,unknown,no
e + SF3_v,e + e + SF2+ + F,cand_e_SF3_v_to_e_e_SF2p_F,electron,dissociative_ionization,2,candidate,unknown,no
e + SF3_v,e + e + SF+ + F2,cand_e_SF3_v_to_e_e_SFp_F2,electron,dissociative_ionization,2,candidate,unknown,no
e + SF3_v,e + SF3_v,cand_e_SF3_v_to_e_SF3_v,electron,elastic,2,candidate,unknown,no
e + SF3_v,e + e + SF3+,cand_e_SF3_v_to_e_e_SF3p,electron,ionization,2,candidate,unknown,no
e + SF4,e + SF2 + F2,cand_e_SF4_to_e_SF2_F2,electron,dissociation,1,candidate,unknown,no
e + SF4,e + SF3 + F,e_SF4_dissociation_SF3_F,electron,dissociation,1,literature_supported,unknown,no
e + SF4,e + e + SF2+ + F2,cand_e_SF4_to_e_e_SF2p_F2,electron,dissociative_ionization,1,candidate,unknown,no
e + SF4,e + SF3+ + F,e_SF4_dissociative_ionization_SF3p_F,electron,dissociative_ionization,1,literature_supported,unknown,no
e + SF4,e + SF4,cand_e_SF4_to_e_SF4,electron,elastic,1,candidate,unknown,no
