equation,reaction_type,family,process,origin,depth,consistency_verdict,state_verdict,thermochemistry_verdict,reaction_evidence_verdict,kinetics_verdict,delta_h_eV,delta_g_eV,threshold_eV,kinetic_data,selected,exclusion_reason,id
e + O2(v) -> O2(v) + e,Electron elastic scattering,electron,elastic,mechanical,2,pass,unknown,unknown,unknown,unknown,,,,,true,,rxn_098eb6a80062
e + O2* -> O2* + e,Electron elastic scattering,electron,elastic,mechanical,2,pass,unknown,unknown,unknown,unknown,,,,,true,,rxn_f3a308be1edd
e + O2+ -> O2+ + e,Electron elastic scattering,electron,elastic,mechanical,2,pass,pass,pass,unknown,unknown,0.0,,,,true,,rxn_4392ff7146da
e + O2- -> O2- + e,Electron elastic scattering,electron,elastic,mechanical,2,pass,pass,unknown,unknown,unknown,,,,,true,,rxn_88181a7e6efe
e + SF4 -> SF4 + e,Electron elastic scattering,electron,elastic,mechanical,2,pass,pass,pass,unknown,unknown,0.0,,,,true,,rxn_c308ed67a1ee
e + SF4+ -> SF4+ + e,Electron elastic scattering,electron,elastic,mechanical,2,pass,pass,unknown,unknown,unknown,,,,,true,,rxn_08a1ce8d71bd
e + SF4- -> SF4- + e,Electron elastic scattering,electron,elastic,mechanical,2,pass,pass,unknown,unknown,unknown,,,,,true,,rxn_3408ad585b95
e + SF5 -> SF5 + e,Electron elastic scattering,electron,elastic,mechanical,2,pass,pass,pass,unknown,unknown,0.0,,,,true,,rxn_e5be6ea862fa
e + SF5+ -> SF5+ + e,Electron elastic scattering,electron,elastic,mechanical,2,pass,pass,unknown,unknown,unknown,,,,,true,,rxn_eb7f6a6e7edb
e + SF5- -> SF5- + e,Electron elastic scattering,electron,elastic,mechanical,2,pass,pass,unknown,unknown,unknown,,,,,true,,rxn_5e1cc61882e5
e + SF6(v) -> SF6(v) + e,Electron elastic scattering,electron,elastic,mechanical,2,pass,unknown,unknown,unknown,unknown,,,,,true,,rxn_6fa58093c6db
e + SF6* -> SF6* + e,Electron elastic scattering,electron,elastic,mechanical,2,pass,unknown,unknown,unknown,unknown,,,,,true,,rxn_c42cd3c1a672
e + SF6+ -> SF6+ + e,Electron elastic scattering,electron,elastic,mechanical,2,pass,unknown,unknown,unknown,unknown,,,,,true,,rxn_9613d375153a
e + SF6- -> SF6- + e,Electron elastic scattering,electron,elastic,mechanical,2,pass,pass,unknown,unknown,unknown,,,,,true,,rxn_a86ee86e5656
e + Ar(m) -> Ar+ + 2 e,Electron-impact ionization,electron,ionization,mechanical,2,pass,unknown,unknown,unknown,unknown,,,,,true,,rxn_dff2bd46b5c5
